#Minuto Promedio Desviacion
1 0 0
2 0 0
3 0.1 0.3
4 0.1 0.3
5 0.1 0.3
6 0.1 0.3
7 0.1 0.3
8 0.1 0.3
9 0.1 0.3
10 0.1 0.3
11 0.1 0.3
12 0.1 0.3
13 0.1 0.3
14 0.1 0.3
15 0.1 0.3
16 0.1 0.3
17 0.1 0.3
18 0.1 0.3
19 0.1 0.3
20 0.1 0.3
21 0.1 0.3
22 0.1 0.3
23 0.1 0.3
24 0.1 0.3
25 0.1 0.3
26 0.1 0.3
27 0.1 0.3
28 0.2 0.6
29 0.2 0.6
30 0.2 0.6
31 0.2 0.6
32 0.2 0.6
33 0.2 0.6
34 0.1 0.3
35 0.1 0.3
36 0.1 0.3
37 0.1 0.3
38 0.1 0.3
39 0.2 0.4
40 0.2 0.4
41 0.2 0.4
42 0.2 0.4
43 0.2 0.4
44 0.2 0.4
45 0.2 0.4
46 0.2 0.4
47 0.2 0.4
48 0.3 0.640312
49 0.3 0.640312
50 0.3 0.640312
51 0.2 0.4
52 0.2 0.4
53 0.2 0.4
54 0.2 0.4
55 0.2 0.4
56 0.2 0.4
57 0.2 0.4
58 0.2 0.4
59 0.2 0.4
60 0.2 0.4
61 0.2 0.4
62 0.2 0.4
63 0.2 0.4
64 0.2 0.4
65 0.2 0.4
66 0.2 0.4
67 0.2 0.4
68 0.2 0.4
69 0.2 0.4
70 0.2 0.4
71 0.2 0.4
72 0.2 0.4
73 0.2 0.4
74 0.2 0.4
75 0.2 0.4
76 0.2 0.4
77 0.1 0.3
78 0.1 0.3
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0.2 0.4
91 0.3 0.458258
92 0.4 0.663325
93 0.4 0.663325
94 0.4 0.663325
95 0.4 0.663325
96 0.3 0.640312
97 0.3 0.640312
98 0.2 0.6
99 0.2 0.6
100 0.2 0.6
101 0.2 0.6
102 0.2 0.6
103 0.2 0.6
104 0.2 0.6
105 0.2 0.6
106 0.2 0.6
107 0.2 0.4
108 0.2 0.4
109 0.2 0.4
110 0.2 0.4
111 0.2 0.4
112 0.2 0.4
113 0.2 0.4
114 0.2 0.4
115 0.2 0.4
116 0.2 0.4
117 0.2 0.4
118 0.3 0.640312
119 0.5 0.67082
120 0.5 0.67082
121 0.5 0.67082
122 0.5 0.67082
123 0.5 0.67082
124 0.5 0.67082
125 0.5 0.67082
126 0.6 0.8
127 0.6 0.8
128 0.6 0.8
129 0.6 1.0198
130 0.6 1.0198
131 0.6 1.0198
132 0.6 1.0198
133 0.6 1.0198
134 0.6 1.0198
135 0.6 1.0198
136 0.6 1.0198
137 0.6 1.0198
138 0.6 1.0198
139 0.6 1.0198
140 0.6 1.0198
141 0.6 1.0198
142 0.5 0.921954
143 0.5 0.921954
144 0.6 1.2
145 0.6 1.2
146 0.5 0.921954
147 0.5 0.921954
148 0.6 1.0198
149 0.6 1.0198
